"Time [ms]","InducedVoltage(A_inward) [V] - Cmax='0mm'","InducedVoltage(A_inward) [V] - Cmax='0.05mm'","InducedVoltage(A_inward) [V] - Cmax='0.1mm'","InducedVoltage(A_inward) [V] - Cmax='0.15mm'","InducedVoltage(A_inward) [V] - Cmax='0.2mm'","InducedVoltage(A_inward) [V] - Cmax='0.25mm'","InducedVoltage(A_inward) [V] - Cmax='0.3mm'"
2.881,93.7274947345206,92.3431137358833,90.9220415138544,90.0290153986884,89.7151320207826,89.7070546253402,89.3883258859215
2.924,95.3682276735453,94.0348771201021,92.8048860146594,91.9773735352938,92.0086897399064,91.7770500188954,91.2759923589099
2.967,96.1964035968281,95.1772536037645,94.2201455118361,93.7181998203453,94.0174099092033,93.2872022571137,92.619168842514
3.01,96.5513961037837,95.8809618443001,95.1759680799708,94.8604341932907,94.9057726762507,93.8867494341833,93.243492080895
3.053,97.7708752686647,97.5818650660024,97.1172959475708,96.8201172245086,96.5865353741881,95.2079613727744,94.4838306178121
3.096,98.8402425597926,98.8233756479924,98.4902976258754,98.266066052732,97.3717883058492,96.5943945144229,95.7583880213562
3.139,98.3771396029262,98.4583767534885,98.1096759569318,98.0163113824305,97.0918471477819,96.5589799775312,96.1055877036459
3.182,96.8914096680963,96.9017763717559,96.5308887651355,96.1609269731454,95.2078578917415,94.9897308997359,95.0123890676075
3.225,95.0335692022581,94.7137731260512,94.1507159480025,93.8234369802154,93.379722081453,93.4083021174409,93.2337418008732
3.268,92.9238289119339,92.313697336593,91.7488057821326,91.3672296350746,91.6449640411192,91.7088782345102,91.7060378073694
3.311,89.6694400118365,88.8756093518421,88.1581809164529,87.8229396219053,88.1696253424669,89.0212572632609,89.0920395521033
3.354,86.5916101557068,86.0040861859931,85.2657381814168,85.1353279248771,85.5256196176642,86.8634125895634,86.9050053736706
3.397,82.5617058919904,82.3061595261021,81.6837811941283,81.8800571411851,83.2577677788551,84.4209051615056,84.458209438766
3.44,79.5197188580846,79.7206115838918,79.6410953823886,80.2585721316717,81.1633706467437,82.732628142191,82.6345152825193
3.483,75.3054478025248,76.1995168708703,76.7742935486862,77.7489567440462,78.6324488722354,79.5999923343929,79.6857180646263
3.526,70.6528819819991,72.0709566987006,73.1502501922243,74.4319377624499,75.434671417549,76.2435685118328,76.3363401234971
3.569,66.4595416063922,68.1956926284062,69.803938473761,71.3910310881557,72.3174480954132,73.6232778282876,73.723779010808
3.612,62.9042437938389,65.0563225338869,66.862311779094,68.8266510170131,70.3038094014765,71.8907846983293,72.2634084978287
3.655,57.5344931749149,60.0680851573662,61.994150124049,64.0795405210785,66.0951321758556,67.8620848994659,69.7857129489562
3.698,51.3869753390942,53.8735012760931,55.8555695647883,57.8277840624925,59.5883172795219,61.8976080326206,63.9988426131269
3.741,44.7685338094972,47.3247802668149,49.5191230765128,51.9103934996792,54.0633734786574,56.1457454171928,57.9451952766843
3.784,36.6271776123689,38.8620698999543,40.7065034114911,42.9459448445182,44.847711749517,47.3264424477691,48.7494276828082
3.827,28.7707532797858,30.1751594855929,31.2985903019283,32.9997848986593,34.7077435054313,36.3883252037164,38.1613448087191
3.87,21.7485877677065,22.7481320012351,22.9941590476326,23.4830961153221,24.5723277898073,25.8465622075995,27.1989470029214
3.913,16.4050825035925,16.9350438791175,16.9853741368448,16.9009397270915,17.4108536890705,18.1487935492219,19.237511166994
3.956,11.5121567717258,11.7316952465835,11.6100666005996,11.2744740315868,11.4271158426971,11.9913962042491,12.5823518004015
3.999,7.33122904660625,7.32843143718887,7.21292855279826,6.93125251672159,6.92869503665408,7.1936150215503,7.3265825638899
4.042,2.63057362693947,2.49086555654409,2.33468454556493,2.24492455454476,2.23457231876266,2.25272986229051,2.23909743885976
4.085,-0.736967940392294,-0.76454244622295,-0.781520909270907,-0.668926831025222,-0.875288215595112,-0.856353429693602,-0.833123611842648
4.128,-5.64324348796391,-5.48885896174237,-5.41011742302764,-5.36234729428897,-5.53855465947018,-5.64091174581554,-5.6791148833945
4.171,-11.1925392532502,-10.8915165735323,-10.7399620509193,-10.5805324884506,-10.8167666085882,-11.1586212382703,-11.3563475348139
4.214,-15.984801827204,-15.6568029767076,-15.6931623853338,-15.2615127889488,-15.9610462251178,-16.6996271676644,-17.2262708247737
4.257,-21.3350652870365,-21.1869516315385,-21.5927589937726,-21.8540382330179,-22.7053983386122,-23.8937999694392,-24.747300884246
4.3,-28.1386434525512,-28.6827977978351,-29.4995508270902,-30.6189370659272,-32.5149591174432,-34.0993550815907,-35.4073690460433
